,Title,Citations,Date,Summary,Subfield,Topic,Doi,Open Acess,OA Url,Journal,WashU Proxy Server:
0,Photoelectron imaging of negative ions,132,2008-01-01,"This article provides an overview of some of the recent advances in the rapidly growing field of negative-ion photoelectron imaging spectroscopy. Setting the work that spans several projects in the authors’ laboratory in broader context, three types of measurements are described. First are the ‘static’ (one-photon) photoelectron imaging experiments that aim to characterize the electronic structure and photodetachment dynamics of negative ions, providing ‘signatures’ of the bound electron orbitals. The experimental results are presented alongside a conceptual symmetry-based description of the photodetachment processes, enabling a qualitative interpretation of the photoelectron images. Second, the effects of solvation on the electronic structure and photodetachment dynamics are examined using photoelectron imaging of cluster anions. Third, the time-resolved experiments that target imaging of bond dissociation, as viewed from the electronic perspective along the time-resolved reaction coordinate, are described in the context of dual centre interference in molecular-anion photodetachment.","Surfaces, Coatings and Films",Electron and X-Ray Spectroscopy Techniques,https://doi.org/10.1080/01442350701786512,False,,International Reviews in Physical Chemistry,https://libproxy.wustl.edu/login?url=https://doi.org/10.1080/01442350701786512
1,Probing the Electronic Structure of Small Molecular Anions by Photoelectron Imaging,96,2003-06-07,"We outline the methodology of negative-ion photoelectron imaging and general aspects of interpretation of the results using the CS2- and S2- anions as model systems. The CS2- images are recorded using 800, 530, 400, and 267 nm photons. The observed transitions result in the formation of CS2 in the X 1Σg+, a 3B2, b 3A2, and A 1A2 states. The S2- measurements are carried out at the same wavelengths with the exception of 800 nm. The resulting images reveal the detachment transitions assigned to the X 3Σg-, a 1Δg, b 1Σg+, c 1Σu-, and A‘ 3Δu states of the neutral. The choice of detachment wavelengths serves as a “zoom” selectively focusing on chosen transitions, in some cases allowing the observation of their vibrational structure. The photoelectron spectra and angular distributions obtained from the images are used to discuss the electronic structure and detachment dynamics. In particular, two approaches to interpreting the angular distributions are discussed. One method employs the Cooper−Zare central-potential model adapted to the molecular case. It considers an expansion of the parent orbital in the basis of single-center atomic-orbital functions, for which the partial waves comprising the ejected electron are determined. The application of this model to molecular anions is straightforward, if the parent molecular orbital resembles an atomic orbital, which is the case for S2-, but not CS2-. In the latter case, a different qualitative approach is proposed, which (i) relies upon the electric-dipole approximation and group theory for the determination of the detached electron wave function symmetry, (ii) restricts the analysis to symmetry (electric dipole) allowed s and p partial waves, and (iii) qualitatively treats the orientation averaging by considering only a few “principal” molecular orientations. The results provide a foundation for the qualitative interpretation of anion photoelectron images.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1021/jp027838o,False,,The Journal of Physical Chemistry A,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/jp027838o
2,Photoelectron imaging: an experimental window into electronic structure,85,2009-01-01,"Photoelectron imaging is finding increasingly widespread use in probing electronic structure and chemical dynamics. In this tutorial review, two benchmark systems, H(-) and I(-), are used to introduce essential concepts linking photoelectron images of negative ions with parent electronic structure. For pedagogical reasons, a qualitative approach based upon spectroscopic selection rules is emphasized in interpreting the images. This approach is extended to molecular systems, highlighting that even qualitative interpretation of results can lead to significant chemical insights.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1039/b815748k,False,,Chemical Society Reviews,https://libproxy.wustl.edu/login?url=https://doi.org/10.1039/b815748k
3,"Evolution of absorption, fluorescence, laser and chemical properties in the series of compounds perylene, benzo(ghi)perylene and coronene",65,2001-11-01,No abstract available.,Physical and Theoretical Chemistry,Photochemistry and Electron Transfer Studies,https://doi.org/10.1016/s1386-1425(01)00457-7,False,,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,https://libproxy.wustl.edu/login?url=https://doi.org/10.1016/s1386-1425(01)00457-7
4,Same but Different: Dipole-Stabilized Shape Resonances in CuF<sup>–</sup> and AgF<sup>–</sup>,62,2015-06-29,"Electron attachment to closed-shell molecules is a gateway to various important processes in the gas and condensed phases. The properties of an electron-attached state, such as its energy and lifetime as well as the character of the molecular orbital to which the electron is attached, determine the fate of the anion. In this experimental and theoretical study of copper and silver fluoride anions, we introduce a new type of metastable anionic state. Abrupt changes in photoelectron angular distributions point to the existence of autodetaching states. Equation-of-motion coupled-cluster singles and doubles calculations augmented by a complex absorbing potential identify some of these states as Σ and Π dipole-stabilized resonances, a new type of shape resonance. In addition, these molecules support valence and dipole-bound states and a Σ resonance of charge-transfer character. By featuring five different types of anionic states, they provide a vehicle for studying fundamental properties of anions and for validating new theoretical approaches for metastable states.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1021/acs.jpclett.5b01174,True,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b01174,The Journal of Physical Chemistry Letters,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/acs.jpclett.5b01174
5,Photoelectron imaging of negative ions: atomic anions to molecular clusters,50,2003-01-01,"The negative ion photoelectron imaging technique is illustrated using two relatively simple atomic and molecular anion systems, and then applied to the study of a cluster system. Photoelectron images of I- and CS2- at 267 nm and 800 nm respectively are presented. Photoelectron spectra and angular distributions are obtained from the images and the concepts underlying these and their interpretation are outlined. The imaging technique is then applied to (CS2)n - (n = 2-4) cluster anions, for which 400 nm images are presented. Features of these images are highlighted and discussed with reference to solvation effects and structural properties of the cluster anionic moiety. Photoelectron signatures of different forms of the cluster core are discussed. These core structures are anionic monomer units solvated by the remaining n - 1 CS2 molecules or covalent dimer units solvated by the remaining n - 2 molecules. Images of the n = 2 anion at 400, 530 and 800 nm reveal information about the electron detachment processes within the different cluster types and both direct detachment and autodetachment are seen. The direct transitions are seen from clusters with either core type, while autodetachment is only seen from clusters with the covalent dimer core. The imaging work also reveals evidence of a previously unreported electronic transition within the direct detachment band due to the covalently bound core type.","Surfaces, Coatings and Films",Electron and X-Ray Spectroscopy Techniques,https://doi.org/10.1039/b300103b,False,,The Analyst,https://libproxy.wustl.edu/login?url=https://doi.org/10.1039/b300103b
6,Photoelectron anisotropy and channel branching ratios in the detachment of solvated iodide cluster anions,43,2005-01-14,"Photoelectron spectra and angular distributions in 267 nm detachment of the I(-)Ar, I(-)H(2)O, I(-)CH(3)I, and I(-)CH(3)CN cluster anions are examined in comparison with bare I(-) using velocity-map photoelectron imaging. In all cases, features are observed that correlate to two channels producing either I((2)P(3/2)) or I((2)P(1/2)). In the photodetachment of I(-) and I(-)Ar, the branching ratios of the (2)P(1/2) and (2)P(3/2) channels are observed to be approximately 0.4, in both cases falling short of the statistical ratio of 0.5. For I(-)H(2)O and I(-)CH(3)I, the (2)P(1/2) to (2)P(3/2) branching ratios are greater by a factor of 1.6 compared to the bare iodide case. The relative enhancement of the (2)P(1/2) channel is attributed to dipole effects on the final-state continuum wave function in the presence of polar solvents. For I(-)CH(3)CN the (2)P(1/2) to (2)P(3/2) ratio falls again, most likely due to the proximity of the detachment threshold in the excited spin-orbit channel. The photoelectron angular distributions in the photodetachment of I(-), I(-)Ar, I(-)H(2)O, and I(-)CH(3)CN are understood within the framework of direct detachment from I(-). Hence, the corresponding anisotropy parameters are modeled using variants of the Cooper-Zare central-potential model for atomic-anion photodetachment. In contrast, I(-)CH(3)I yields nearly isotropic photoelectron angular distributions in both detachment channels. The implications of this anomalous behavior are discussed with reference to alternative mechanisms, affording the solvent molecule an active role in the electron ejection process.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1063/1.1839861,True,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.1839861/10874797/054308_1_online.pdf,The Journal of Chemical Physics,https://libproxy.wustl.edu/login?url=https://doi.org/10.1063/1.1839861
7,Effects of solvation and core switching on the photoelectron angular distributions from (CO2)n− and (CO2)n−⋅H2O,40,2004-03-04,"Photoelectron images are recorded in the photodetachment of two series of cluster anions, (CO(2))(n)(-), n=4-9 and (CO(2))(n)(-).H(2)O, n=2-7, with linearly polarized 400 nm light. The energetics of the observed photodetachment bands compare well with previous studies, showing evidence for switching between two anionic core structures: The CO(2)(-) monomer and covalent (CO(2))(2)(-) dimer anions. The systematic study of photoelectron angular distributions (PADs) sheds light on the electronic structure of the different core anions and indicates that solvation by several CO(2) molecules and/or one water molecule has only moderate effect on the excess-electron orbitals. The observed PAD character is reconciled with the symmetry properties of the parent molecular orbitals. The most intriguing result concerns the PADs showing remarkable similarities between the monomer and dimer anion cluster-core types. This observation is explained by treating the highest-occupied molecular orbital of the covalent dimer anion as a linear combination of two spatially separated monomeric orbitals.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1063/1.1647535,False,,The Journal of Chemical Physics,https://libproxy.wustl.edu/login?url=https://doi.org/10.1063/1.1647535
8,Influence of weak and strong donor groups on the fluorescence parameters and the intersystem crossing rate constant,37,2003-01-17,No abstract available.,Physical and Theoretical Chemistry,Photochemistry and Electron Transfer Studies,https://doi.org/10.1016/s1386-1425(02)00207-x,False,,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,https://libproxy.wustl.edu/login?url=https://doi.org/10.1016/s1386-1425(02)00207-x
9,The influence of molecular symmetry and topological factors on the internal heavy atom effect in aromatic and heteroaromatic compounds,37,2001-06-01,No abstract available.,Physical and Theoretical Chemistry,Photochemistry and Electron Transfer Studies,https://doi.org/10.1016/s1386-1425(00)00488-1,False,,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,https://libproxy.wustl.edu/login?url=https://doi.org/10.1016/s1386-1425(00)00488-1
10,Vibronic coupling in the superoxide anion: The vibrational dependence of the photoelectron angular distribution,33,2010-11-03,"We present a comprehensive photoelectron imaging study of the O(2)(X (3)Σ(g)(-),v(')=0-6)←O(2)(-)(X (2)Π(g),v("")=0) and O(2)(a (1)Δ(g),v(')=0-4)←O(2)(-)(X (2)Π(g),v("")=0) photodetachment bands at wavelengths between 900 and 455 nm, examining the effect of vibronic coupling on the photoelectron angular distribution (PAD). This work extends the v(')=1-4 data for detachment into the ground electronic state, presented in a recent communication [R. Mabbs, F. Mbaiwa, J. Wei, M. Van Duzor, S. T. Gibson, S. J. Cavanagh, and B. R. Lewis, Phys. Rev. A 82, 011401(R) (2010)]. Measured vibronic intensities are compared to Franck-Condon predictions and used as supporting evidence of vibronic coupling. The results are analyzed within the context of the one-electron, zero core contribution (ZCC) model [R. M. Stehman and S. B. Woo, Phys. Rev. A 23, 2866 (1981)]. For both bands, the photoelectron anisotropy parameter variation with electron kinetic energy, β(E), displays the characteristics of photodetachment from a d-like orbital, consistent with the π(g)(∗) 2p highest occupied molecular orbital of O(2)(-). However, differences exist between the β(E) trends for detachment into different vibrational levels of the X (3)Σ(g)(-) and a (1)Δ(g) electronic states of O(2). The ZCC model invokes vibrational channel specific ""detachment orbitals"" and attributes this behavior to coupling of the electronic and nuclear motion in the parent anion. The spatial extent of the model detachment orbital is dependent on the final state of O(2): the higher the neutral vibrational excitation, the larger the electron binding energy. Although vibronic coupling is ignored in most theoretical treatments of PADs in the direct photodetachment of molecular anions, the present findings clearly show that it can be important. These results represent a benchmark data set for a relatively simple system, upon which to base rigorous tests of more sophisticated models.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1063/1.3493349,False,,The Journal of Chemical Physics,https://libproxy.wustl.edu/login?url=https://doi.org/10.1063/1.3493349
11,The effect of the dipole bound state on AgF− vibrationally resolved photodetachment cross sections and photoelectron angular distributions,32,2014-10-16,"The first photoelectron spectra of AgF(-) are recorded over the energy range 1.61-1.85 eV using the velocity map imaging technique. The resolved vibrational structure of the AgF X', v' ← AgF(-) X″, v″ = 0 band yields an AgF electron affinity of 1.46 ± 0.01 eV and vibrational frequency of 500 ± 40 cm(-1). For the v' = 2, 3, 4 channels, the photodetachment cross sections and angular distributions undergo rapid changes over a narrow electron kinetic energy range in the region of 50 meV (approximately 13 meV below the opening of the next vibrational channel). This is consistent with Fano-like behavior indicating autodetachment following excitation to a resonant anion state lying in the detachment continuum. EOM-CCSD calculations reveal this to be a dipole bound state. The consistency of the detachment data with the vibrational autodetachment propensity rule Δv = -1 shows that the autodetachment results from breakdown of the Born-Oppenheimer approximation, coupling the vibrational and electronic degrees of freedom.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1063/1.4897650,False,,The Journal of Chemical Physics,https://libproxy.wustl.edu/login?url=https://doi.org/10.1063/1.4897650
12,Photoelectron Imaging of Hydrated Carbon Dioxide Cluster Anions,29,2005-04-29,"The effects of homogeneous and heterogeneous solvation on the electronic structure and photodetachment dynamics of hydrated carbon dioxide cluster anions are investigated using negative-ion photoelectron imaging spectroscopy. The experiments are conducted on mass-selected [(CO(2))(n)()(H(2)O)(m)()](-) cluster anions with n and m ranging up to 12 and 6, respectively, for selected clusters. Homogeneous solvation in (CO(2))(n)()(-) has minimal effect on the photoelectron angular distributions, despite dimer-to-monomer anion core switching. Heterogeneous hydration, on the other hand, is found to have the marked effect of decreasing the photodetachment anisotropy. For example, in the [CO(2)(H(2)O)(m)()](-) cluster anion series, the photoelectron anisotropy parameter falls to essentially zero with as few as 5-6 water molecules. The analysis of the data, supported by theoretical modeling, reveals that in the ground electronic state of the hydrated clusters the excess electron is localized on CO(2), corresponding to a (CO(2))(n)()(-).(H(2)O)(m)() configuration for all cluster anions studied. The diminishing anisotropy in the photoelectron images of hydrated cluster anions is proposed to be attributable to photoinduced charge transfer to solvent, creating transient (CO(2))(n)().(H(2)O)(m)()(-) states that subsequently decay via autodetachment.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1021/jp050061p,False,,The Journal of Physical Chemistry A,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/jp050061p
13,Time-resolved imaging of the reaction coordinate,29,2005-04-29,"Time-resolved photoelectron imaging of negative ions is employed to study the dynamics along the reaction coordinate in the photodissociation of IBr(-). The results are discussed in a side-by-side comparison with the dissociation of I(2) (-), examined under similar experimental conditions. The I(2) (-) anion, extensively studied in the past, is used as a reference system for interpreting the IBr(-) results. The data provide rigorous dynamical tests of the anion electronic potentials. The evolution of the energetics revealed in the time-resolved (780 nm pump, 390 nm probe) I(2) (-) and IBr(-) photoelectron images is compared to the predictions of classical trajectory calculations, with the time-resolved photoelectron spectra modeled assuming a variety of neutral states accessed in the photodetachment. In light of good overall agreement of the experimental data with the theoretical predictions, the results are used to construct an experimental image of the IBr(-) dissociation potential as a function of the reaction coordinate.","Atomic and Molecular Physics, and Optics",Advanced Chemical Physics Studies,https://doi.org/10.1063/1.1887170,False,,The Journal of Chemical Physics,https://libproxy.wustl.edu/login?url=https://doi.org/10.1063/1.1887170
14,Direct and Indirect Detachment in the Iodide−Pyrrole Cluster Anion: The Role of Dipole Bound and Neutral Cluster States,28,2009-11-20,"Photoelectron imaging probes both molecular electronic structure and electron molecule interactions. In the current work images were recorded for detachment from the I(-) x C(4)H(5)N (I(-) x pyrrole) cluster anion at wavelengths between 360 and 260 nm. The direct detachment spectra show strong similarities to those of I(-), although a strong solvent shift, broadening and some structure is observed. A nondirect, dissociative or autodetachment feature is also observed over a range of wavelengths. Ab initio calculations identify several local minima associated with neutral and anion isomers. Energy and Franck-Condon arguments are used to assess the role of these in the detachment process. The cluster anion structure is essentially an I(-) atomic anion in the presence of a neutral pyrrole molecule. The spectral structure arises due to interactions in the open shell neutral cluster residue resulting from detachment. The indirect detachment feature arises through the formation of an intermediate dipole bound cluster anion state which subsequently dissociates. The energy dependence of this channel (observed over a 0.6 eV range of photon energies) is discussed in terms of the wide amplitude motions associated with the van der Waals modes of the cluster anions.",Spectroscopy,Molecular Spectroscopy and Structure,https://doi.org/10.1021/jp9085798,False,,The Journal of Physical Chemistry A,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/jp9085798
